source_scheme,source_code,target_code,rating,weight,model,date
ANZSCO,111111,1112,B,0.3,gpt-4o-mini,2026-08-14
ANZSCO,111211,1112,B,0.3,gpt-4o-mini,2026-08-14
ANZSCO,111111,1114,B,0.3,gpt-4o-mini,2026-08-14
ANZSCO,111211,1114,B,0.3,gpt-4o-mini,2026-08-14
ANZSCO,111111,1120,A,0.4,gpt-4o-mini,2026-08-14
ANZSCO,111211,1120,A,0.4,gpt-4o-mini,2026-08-14
SOC2010,11-1031,1111,B,0.5,gpt-4o-mini,2026-08-14
SOC2010,11-1011,1112,B,0.3333333333333333,gpt-4o-mini,2026-08-14
SOC2010,11-1021,1112,B,0.375,gpt-4o-mini,2026-08-14
SOC2010,11-1011,1113,C,0.2222222222222222,gpt-4o-mini,2026-08-14
SOC2010,11-1031,1113,B,0.5,gpt-4o-mini,2026-08-14
SOC2010,11-1021,1114,C,0.25,gpt-4o-mini,2026-08-14
SOC2010,11-1011,1120,A,0.4444444444444444,gpt-4o-mini,2026-08-14
SOC2010,11-1021,1120,B,0.375,gpt-4o-mini,2026-08-14
